Input Lat,-31.35
Input Lon,152.37
Input Elev,487
Grid Lat,-31.36
Grid Lon,152.351
Grid Elev,345.0
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
25 Aug 2020,17:00,15.6,35.5,176.0,10.0,6.9,5.0,0.0
25 Aug 2020,18:00,12.9,44.2,172.8,10.0,6.9,3.0,0.0
25 Aug 2020,19:00,10.8,53.4,166.9,5.0,6.9,2.0,0.0
25 Aug 2020,20:00,9.6,59.9,153.4,4.0,6.9,1.0,0.0
25 Aug 2020,21:00,8.4,64.5,168.6,2.0,6.9,1.0,0.0
25 Aug 2020,22:00,7.3,69.5,190.0,4.0,6.9,1.0,0.0
25 Aug 2020,23:00,6.6,73.0,213.6,4.0,6.9,0.0,0.0
26 Aug 2020,00:00,6.4,72.4,226.8,4.0,6.9,0.0,0.0
26 Aug 2020,01:00,4.4,90.6,246.2,4.0,6.9,1.0,0.0
26 Aug 2020,02:00,3.9,93.2,253.5,4.0,6.9,1.0,0.0
26 Aug 2020,03:00,3.5,95.8,255.9,3.0,6.9,1.0,0.0
26 Aug 2020,04:00,3.0,100.0,266.7,3.0,6.9,1.0,0.0
26 Aug 2020,05:00,2.5,100.0,276.1,4.0,6.9,1.0,0.0
26 Aug 2020,06:00,1.8,100.0,276.9,4.0,6.9,1.0,0.0
26 Aug 2020,07:00,2.5,100.0,272.7,4.0,6.9,1.0,0.0
26 Aug 2020,08:00,5.4,89.4,268.5,3.0,6.9,1.0,0.0
26 Aug 2020,09:00,8.1,73.8,252.4,2.0,6.9,2.0,0.0
26 Aug 2020,10:00,11.7,56.7,234.9,5.0,6.9,3.0,0.0
26 Aug 2020,11:00,14.5,45.3,218.5,6.0,7.1,4.0,0.0
26 Aug 2020,12:00,16.7,37.7,187.1,5.0,7.1,5.0,0.0
26 Aug 2020,13:00,18.2,33.1,161.7,4.0,7.1,6.0,0.0
26 Aug 2020,14:00,18.9,31.0,145.3,5.0,7.1,6.0,0.0
26 Aug 2020,15:00,19.1,30.8,135.0,5.0,7.1,7.0,0.0
26 Aug 2020,16:00,18.9,32.4,126.3,6.0,7.1,6.0,0.0
26 Aug 2020,17:00,16.3,40.4,121.9,7.0,7.1,5.0,0.0
26 Aug 2020,18:00,13.2,52.2,111.2,8.0,7.1,3.0,0.0
26 Aug 2020,19:00,10.6,65.5,103.5,7.0,7.1,2.0,0.0
26 Aug 2020,20:00,9.4,73.0,64.5,4.0,7.1,1.0,0.0
26 Aug 2020,21:00,7.7,82.4,351.8,3.0,7.1,1.0,0.0
26 Aug 2020,22:00,6.3,89.5,327.4,4.0,7.1,1.0,0.0
26 Aug 2020,23:00,5.4,93.9,317.0,4.0,7.1,0.0,0.0
27 Aug 2020,00:00,4.8,95.9,310.8,4.0,7.1,0.0,0.0
27 Aug 2020,01:00,3.0,100.0,313.5,4.0,7.1,0.0,0.0
27 Aug 2020,02:00,2.5,100.0,307.4,5.0,7.1,0.0,0.0
27 Aug 2020,03:00,2.0,100.0,305.5,5.0,7.1,0.0,0.0
27 Aug 2020,04:00,1.3,100.0,306.6,5.0,7.1,0.0,0.0
27 Aug 2020,05:00,1.2,100.0,308.8,5.0,7.1,0.0,0.0
27 Aug 2020,06:00,1.0,100.0,306.7,5.0,7.1,0.0,0.0
27 Aug 2020,07:00,1.8,100.0,305.9,5.0,7.1,0.0,0.0
27 Aug 2020,08:00,5.6,92.6,301.9,4.0,7.1,0.0,0.0
27 Aug 2020,09:00,9.3,75.5,299.2,3.0,7.1,1.0,0.0
27 Aug 2020,10:00,13.7,57.3,300.6,1.0,7.1,2.0,0.0
27 Aug 2020,11:00,16.7,45.6,296.5,8.0,7.2,4.0,0.0
27 Aug 2020,12:00,19.6,35.5,288.4,8.0,7.2,6.0,0.0
27 Aug 2020,13:00,21.6,29.4,257.3,6.0,7.2,8.0,0.0
27 Aug 2020,14:00,22.3,27.6,175.6,8.0,7.2,9.0,0.0
27 Aug 2020,15:00,22.8,27.2,175.7,7.0,7.2,9.0,0.0
27 Aug 2020,16:00,22.4,29.2,212.2,6.0,7.2,8.0,0.0
27 Aug 2020,17:00,19.6,36.7,222.3,6.0,7.2,6.0,0.0
27 Aug 2020,18:00,16.2,47.8,233.4,5.0,7.2,3.0,0.0
27 Aug 2020,19:00,13.6,57.6,262.5,4.0,7.2,2.0,0.0
27 Aug 2020,20:00,12.1,61.8,279.7,6.0,7.2,2.0,0.0
27 Aug 2020,21:00,10.7,63.7,276.0,8.0,7.2,2.0,0.0
27 Aug 2020,22:00,9.5,64.8,286.7,6.0,7.2,2.0,0.0
27 Aug 2020,23:00,9.1,63.8,292.8,6.0,7.2,2.0,0.0
28 Aug 2020,00:00,8.9,62.8,292.9,8.0,7.2,2.0,0.0
28 Aug 2020,01:00,7.5,68.1,293.0,9.0,7.2,1.0,0.0
28 Aug 2020,02:00,7.3,67.1,293.1,10.0,7.2,1.0,0.0
28 Aug 2020,03:00,7.2,66.1,292.3,10.0,7.2,1.0,0.0
28 Aug 2020,04:00,7.0,65.1,291.0,11.0,7.2,2.0,0.0
28 Aug 2020,05:00,6.7,65.1,289.5,11.0,7.2,2.0,0.0
28 Aug 2020,06:00,6.6,65.5,286.1,11.0,7.2,2.0,0.0
28 Aug 2020,07:00,7.8,62.1,279.1,11.0,7.2,2.0,0.0
28 Aug 2020,08:00,10.6,54.9,267.3,12.0,7.2,3.0,0.0
28 Aug 2020,09:00,13.3,49.0,253.1,13.0,7.2,3.0,0.0
28 Aug 2020,10:00,16.4,41.3,239.6,14.0,7.2,5.0,0.0
28 Aug 2020,11:00,18.7,34.7,228.9,15.0,7.3,7.0,0.0
28 Aug 2020,12:00,20.8,28.4,220.2,15.0,7.3,10.0,0.0
28 Aug 2020,13:00,21.9,24.9,211.5,16.0,7.3,12.0,0.0
28 Aug 2020,14:00,22.5,23.3,201.7,16.0,7.3,13.0,0.0
28 Aug 2020,15:00,22.5,23.5,192.9,16.0,7.3,12.0,0.0
28 Aug 2020,16:00,21.8,24.8,187.9,15.0,7.3,11.0,0.0
28 Aug 2020,17:00,19.3,29.8,189.4,13.0,7.3,8.0,0.0
28 Aug 2020,18:00,16.6,36.1,198.8,10.0,7.3,6.0,0.0
28 Aug 2020,19:00,13.9,44.2,217.3,8.0,7.3,4.0,0.0
28 Aug 2020,20:00,12.3,50.1,244.4,7.0,7.3,3.0,0.0
28 Aug 2020,21:00,10.7,56.9,272.1,7.0,7.3,2.0,0.0
28 Aug 2020,22:00,9.4,63.4,290.7,7.0,7.3,2.0,0.0
28 Aug 2020,23:00,8.5,67.8,293.8,6.0,7.3,1.0,0.0
29 Aug 2020,00:00,8.2,69.7,287.3,6.0,7.3,1.0,0.0
29 Aug 2020,01:00,6.5,77.8,280.5,6.0,7.3,1.0,0.0
29 Aug 2020,02:00,6.2,78.3,280.2,6.0,7.3,1.0,0.0
29 Aug 2020,03:00,5.8,79.9,284.4,6.0,7.3,1.0,0.0
29 Aug 2020,04:00,5.2,82.1,288.6,6.0,7.3,1.0,0.0
29 Aug 2020,05:00,5.3,81.5,290.1,6.0,7.3,1.0,0.0
29 Aug 2020,06:00,5.5,81.6,292.7,6.0,7.3,1.0,0.0
29 Aug 2020,07:00,6.5,78.3,301.9,6.0,7.3,1.0,0.0
29 Aug 2020,08:00,9.5,67.6,321.3,5.0,7.3,1.0,0.0
29 Aug 2020,09:00,12.3,59.8,346.7,5.0,7.3,2.0,0.0
29 Aug 2020,10:00,15.8,49.0,11.0,5.0,7.3,3.0,0.0
29 Aug 2020,11:00,18.4,41.3,28.5,6.0,7.4,5.0,0.0
29 Aug 2020,12:00,20.9,34.4,41.7,7.0,7.4,7.0,0.0
